,name,link,city,medias,styles
30,BADABOUM,https://shotgun.live/fr/venues/badaboum-club,Paris,"{'Instagram': 'https://www.instagram.com/badaboum.paris'}, {'SoundCloud': 'https://soundcloud.com/badaboum-paris'}, {'Facebook': 'https://www.facebook.com/lebadaboum'}","BREAKBEAT, TECHNO, ELECTRO, UK GARAGE, BASS, HOUSE, REGGAETON, TECH HOUSE, TRANCE, ROCK, POST-PUNK, MINIMAL HOUSE, DOWNTEMPO, PROGRESSIVE HOUSE, PUNK, SYNTHPOP, POP, BOSSA NOVA, IDM, EXPERIMENTAL, HYPERPOP, INDIE ROCK, DISCO"
31,Volange,https://shotgun.live/fr/venues/volange,Paris,nan,"TRAP, RAP, HIP HOP, HOUSE, DEEP HOUSE, AFRO HOUSE, REGGAETON, LATIN HOUSE, DANCE, BAILE FUNK, BASS HOUSE, POP, TECH HOUSE, MICRO HOUSE, AMBIENT, EDM, BRAZILIAN, DISCO HOUSE, PROGRESSIVE HOUSE, CLUB, DISCO, HYPERPOP, HARD TECHNO, ELECTRO, AFRO, R&B, JAZZ, AMAPIANO, DEEP TECH, DEEP TECHNO, TECHNO, FUNK, ELECTRO HOUSE, ACID TECHNO, DRILL, DANCEHALL, ACID HOUSE, AFROBEAT"
32,PERCHEPOLIS,https://shotgun.live/fr/venues/chateau-perche,Paris,"{'Instagram': 'https://www.instagram.com/chateauperchefestival'}, {'SoundCloud': 'https://soundcloud.com/perchepolis-label'}, {'TikTok': 'https://www.tiktok.com/@chateauperche'}, {'Facebook': 'https://www.facebook.com/ChateauPercheFestival'}","POP, INDIE DANCE, HOUSE, TRANCE, TECHNO, DOWNTEMPO, HARD GROOVE, PROGRESSIVE PSYTRANCE, DEEP TECHNO, A CAPPELLA, ACID, DUB TECHNO, ELECTRO"
33,GATE CLUB,https://shotgun.live/fr/venues/gate-club,Paris,{'Instagram': 'https://www.instagram.com/gateclubparis'},"HOUSE, TECH HOUSE, DEEP HOUSE, MELODIC HOUSE & TECHNO, LATIN HOUSE, AFRO HOUSE, DISCO, TECHNO, TRANCE, DEEP TECHNO, ELECTRO, EDM, DEEP TECH, CLUB, DISCO HOUSE, DUB TECHNO, AFRO, MINIMAL HOUSE, HIP HOP"
34,Monarch,https://shotgun.live/fr/venues/monarch,Paris,"{'Instagram': 'https://www.instagram.com/monarch.techno'}, {'SoundCloud': 'https://soundcloud.com/monarchparis'}, {'X': 'https://x.com/monarch_paris'}, {'Facebook': 'https://www.facebook.com/monarch.party.fr'}","HARD GROOVE, TECHNO, HARD TECHNO, GERMAN TECHNO, SYNTHPOP, POP, PROGRESSIVE PSYTRANCE, ACID TECHNO, INDUSTRIAL, HOUSE, MELODIC HOUSE & TECHNO"
35,La Rotonde Stalingrad,https://shotgun.live/fr/venues/la-rotonde-stalingrad,Paris,"{'Instagram': 'https://www.instagram.com/larotondestalingrad'}, {'Facebook': 'https://www.facebook.com/larotondestalingrad'}","FUNK, DISCO, HOUSE, AFRO, HIP HOP, ZOUK, PROGRESSIVE TRANCE, DEEP HOUSE, MINIMAL HOUSE, MICRO HOUSE, HARD TECHNO, HARD TRANCE, TECH HOUSE, ELECTRO, TECHNO, DUB TECHNO, DEEP TECH, TRANCE, PROGRESSIVE HOUSE, ITALO DISCO, INDIE DANCE, BREAKBEAT, REGGAETON, GHETTOTECH, TRAP, DISCO HOUSE, ACID HOUSE, BASS, MIAMI BASS, UK GARAGE, ROCK, POP, R&B, RAP, DANCEHALL, BASS HOUSE, BAILE FUNK, SOUL, PSYTRANCE, HARD GROOVE, ELECTRONICA, ELECTRO HOUSE, AMBIENT, AFRO HOUSE, DRILL, POP ROCK, BREAKCORE, NEW WAVE, EBM, JUNGLE, DANCE, BALEARIC, DRUM & BASS, CLUB, MINIMAL SYNTH, GARAGE, AFROBEAT, DEEP TECHNO, HARDCORE"
36,LA JAVA,https://shotgun.live/fr/venues/la-java,Paris,"{'Instagram': 'https://www.instagram.com/lajavabelleville'}, {'Facebook': 'https://www.facebook.com/88200628120'}","TECHNO, HARDTEK, HARD GROOVE, REGGAETON, HIP HOP, BAILE FUNK, TRANCE, HOUSE, ELECTRO, HARD TRANCE, CHICAGO HOUSE, DISCO HOUSE, ELECTRO HOUSE, RAP, TRAP, HARDCORE, GABBER, BOUYON, R&B, PSYTRANCE, PROGRESSIVE HOUSE, HYPERPOP, CLUB, FOOTWORK, HYPNOTIC TECHNO, MINIMAL TECHNO, POST-PUNK, EBM, BASS, HARD TECHNO, DUBSTEP, ACID HOUSE, TECH HOUSE, MELODIC HOUSE & TECHNO, UK GARAGE, ACID TECHNO, DISCO, FUNK, AFRO, AMAPIANO, AFROBEAT, GARAGE, BRAZILIAN, SAMBA, MINIMAL HOUSE, POP ROCK, ROCK, EURODANCE, EXPERIMENTAL, MICRO HOUSE, DRUM & BASS, AXÉ, DEEP HOUSE, ITALO DISCO, PROGRESSIVE TRANCE, DANCE, DANCEHALL, AFRO HOUSE, DEEP TECH, DEEP TECHNO, POP, BREAKBEAT, GERMAN TECHNO, INDUSTRIAL, CUMBIA, REGGAE, SALSA, GHETTOTECH, ACIDCORE"
37,Insane Festival,https://shotgun.live/fr/venues/insane-fest,Apt,"{'Instagram': 'https://www.instagram.com/insanefestival'}, {'Spotify': 'https://open.spotify.com/user/insanefestival'}, {'TikTok': 'https://www.tiktok.com/@insanefestival'}, {'Facebook': 'https://www.facebook.com/insanefestival'}","TECHNO, HARD TECHNO, HARDCORE, ELECTRO, GERMAN TECHNO, DETROIT TECHNO, TECH HOUSE, HARDTEK, HARD GROOVE, TRANCE, NEORAVE, PROGRESSIVE TRANCE, ACID TECHNO, PSYTRANCE, HARD TRANCE"
38,Le Sucre,https://shotgun.live/fr/venues/le-sucre,Lyon,"{'Instagram': 'https://www.instagram.com/lesucrelyon'}, {'SoundCloud': 'https://soundcloud.com/le-sucre-lyon'}, {'Facebook': 'https://www.facebook.com/195127600636466'}","TECHNO, ELECTRO, EBM, BASS, HOUSE, HARD GROOVE, DARK WAVE, ITALO DISCO, INDIE DANCE, HYPNOTIC TECHNO, HARD TECHNO, JUNGLE, POP, DUB"
39,DJOON,https://shotgun.live/fr/venues/djoonclub,Paris,"{'Instagram': 'https://www.instagram.com/djoonclub'}, {'SoundCloud': 'https://soundcloud.com/djoon'}, {'Spotify': 'https://open.spotify.com/user/djoonclub'}, {'TikTok': 'https://www.tiktok.com/@djoonclub'}, {'X': 'https://x.com/djoonclub'}, {'Facebook': 'https://www.facebook.com/44309696400'}","DISCO HOUSE, DEEP HOUSE, ELECTRO HOUSE, DISCO, HOUSE, AFRO HOUSE, HIP HOP, R&B, AFROBEAT, GARAGE, FUNK, SOUL, JAZZ, CHICAGO HOUSE, AFRO, DANCEHALL, SALSA, BAILE FUNK, UK GARAGE, RAP, AMAPIANO, ITALO DISCO, BALEARIC, ELECTRO, ACID HOUSE, BRAZILIAN, DANCE, TECHNO, DETROIT TECHNO, ALTERNATIVE DANCE"
